id,title,averageRating,author,language
445,Before I Go to Sleep,3.87,S.J. Watson,en-CA
446,A Study in Scarlet,4.15,Arthur Conan Doyle,eng
447,Brisingr,4.03,Christopher Paolini,eng
448,The Purpose Driven Life: What on Earth am I Here For?,3.9,Rick Warren,en-US
449,Betrayed: a House of Night Novel,3.93,"P.C. Cast, Kristin Cast",en-US
450,Storm Front,4.02,Jim Butcher,en-US
451,Northanger Abbey,3.8,"Jane Austen, Alfred MacAdam",eng
452,The 5th Wave,4.1,Rick Yancey,eng
453,Cold Mountain,3.83,Charles Frazier,en-US
454,If You Give a Mouse a Cookie,4.24,"Laura Joffe Numeroff, Felicia Bond",en-US
455,Something Blue,3.92,Emily Giffin,en-US
456,A Streetcar Named Desire,3.97,Tennessee Williams,eng
457,The Historian,3.77,Elizabeth Kostova,eng
458,Station Eleven,4.02,Emily St. John Mandel,eng
459,En man som heter Ove,4.35,"Fredrik Backman, Henning Koch",eng
460,Clockwork Princess,4.59,Cassandra Clare,eng
461,The Good Earth,3.97,Pearl S. Buck,eng
462,Ways of Seeing,3.75,John Berger,eng
463,Dragonfly in Amber,4.31,Diana Gabaldon,eng
464,,4.43,Anonymous,eng
465,In Her Shoes,3.78,Jennifer Weiner,
466,The Hobbit,4.48,"Chuck Dixon, J.R.R. Tolkien, David Wenzel, Sean Deming",eng
467,The Brief Wondrous Life of Oscar Wao,3.89,Junot Díaz,eng
468,Their Eyes Were Watching God,3.87,Zora Neale Hurston,eng
469,Fantastic Beasts and Where to Find Them,3.95,"Newt Scamander, J.K. Rowling, Albus Dumbledore",eng
470,I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban,4.06,"Malala Yousafzai, Christina Lamb",eng
471,Mansfield Park,3.84,"Jane Austen, Kathryn Sutherland, Tony Tanner, Claire Lamont",eng
472,…trotzdem Ja zum Leben sagen: Ein Psychologe erlebt das Konzentrationslager,4.33,Viktor E. Frankl,eng
473,In the Woods,3.74,Tana French,eng
474,The God Delusion,3.89,Richard Dawkins,eng
475,Where She Went,4.06,Gayle Forman,en-US
476,The World According to Garp,4.07,John Irving,eng
477,Killing Floor,4.04,Lee Child,eng
478,"The Life and Strange Surprising Adventures of Robinson Crusoe of York, Mariner",3.66,"Daniel Defoe, Gerald McCann, Virginia Woolf",eng
479,Il Principe,3.78,"Niccolò Machiavelli, Adolph Caso, Rufus Goodwin, Benjamin Martinez",eng
480,The Amber Spyglass,4.06,Philip Pullman,eng
481,Wizard's First Rule,4.13,Terry Goodkind,eng
482,The Kitchen House,4.18,Kathleen Grissom,en-CA
483,Franny and Zooey,3.98,J.D. Salinger,en-US
484,Choke,3.69,Chuck Palahniuk,eng
485,Братья Карамазовы,4.3,"Fyodor Dostoyevsky, Richard Pevear, Larissa Volokhonsky",eng
486,The City of Ember,3.85,Jeanne DuPrau,eng
487,The Andromeda Strain,3.87,Michael Crichton,
488,The Green Mile,4.42,Stephen King,eng
489,The Prophet,4.22,Kahlil Gibran,eng
490,Maus: A Survivor's Tale : My Father Bleeds History,4.35,Art Spiegelman,eng
491,Untamed: A House of Night Novel,3.95,"P.C. Cast, Kristin Cast",en-US
492,Speaker for the Dead,4.04,Orson Scott Card,en-US
493,Mere Christianity,4.31,C.S. Lewis,eng
494,The Secret History,4.07,Donna Tartt,eng
495,A Heartbreaking Work of Staggering Genius,3.68,Dave Eggers,eng
496,The Clan of the Cave Bear,4.02,Jean M. Auel,eng
497,Black Beauty,3.94,Anna Sewell,eng
498,Война и миръ,4.11,"Leo Tolstoy, Henry Gifford, Aylmer Maude, Louise Maude",eng
499,American Psycho,3.81,Bret Easton Ellis,eng
500,The Princess Diaries,3.76,Meg Cabot,eng
501,The No. 1 Ladies' Detective Agency ,3.75,Alexander McCall Smith,eng
502,"The Walking Dead, Vol. 1: Days Gone Bye",4.3,"Robert Kirkman, Tony Moore",en-GB
503,2001: A Space Odyssey,4.12,Arthur C. Clarke,eng
504,,4.48,Francine Rivers,eng
505,Left Behind:  A Novel of the Earth's Last Days,3.81,"Tim LaHaye, Jerry B. Jenkins",eng
506,The One,4.21,Kiera Cass,eng
507,The Hunger Games Box Set,4.49,Suzanne Collins,eng
508,Nickel and Dimed: On (Not) Getting By in America,3.6,Barbara Ehrenreich,eng
509,Remember Me?,3.76,Sophie Kinsella,eng
510,The Great Hunt,4.2,Robert Jordan,en-US
511,Post-Mortem:  A Mystery Introducing Dr. Kay Scarpetta,4.01,Patricia Cornwell,eng
512,The Complete Tales of Edgar Allan Poe,4.37,Edgar Allan Poe,en-US
513,The Hiding Place,4.42,"Corrie ten Boom, John Sherrill, Elizabeth Sherrill",en-US
514,The Adventures of Sherlock Holmes,4.29,Arthur Conan Doyle,eng
515,The Prince of Tides,4.22,Pat Conroy,eng
516,The Amazing Adventures of Kavalier & Clay,4.17,Michael Chabon,eng
517,Perfect Chemistry,4.07,Simone Elkeles,eng
518,Peter Pan,4.1,"J.M. Barrie, Michael Hague",en-US
519,Pretties,3.85,Scott Westerfeld,eng
520,ねじまき鳥クロニクル [Nejimakidori kuronikuru],4.17,"Haruki Murakami, Jay Rubin",eng
521,The Lincoln Lawyer ,4.14,Michael Connelly,eng
522,Cloud Atlas,4.01,David Mitchell,eng
523,The Things They Carried,4.12,Tim O'Brien,en-US
524,Wall and Piece,3.83,Banksy,eng
525,Pandemonium,4.07,Lauren Oliver,eng
526,Darkly Dreaming Dexter,3.89,Jeff Lindsay,eng
527,Living Dead in Dallas,3.97,Charlaine Harris,eng
528,The Dragon Reborn ,4.23,Robert Jordan,eng
529,Gulliver’s Travels,3.55,"Jonathan Swift, Robert DeMaria Jr.",eng
530,Much Ado About Nothing,4.06,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Gail Kern Paster, Robert          Jackson",eng
531,Beowulf,3.42,"Unknown, Seamus Heaney",en-US
532,Batman: Year One,4.23,"Frank Miller, David Mazzucchelli, Richmond Lewis, Dennis O'Neil",eng
533,Go Set a Watchman,3.31,Harper Lee,eng
534,When You Are Engulfed in Flames,4.04,David Sedaris,en-US
535,Daughter of Smoke & Bone,4.04,Laini Taylor,eng
536,Red Queen,4.08,Victoria Aveyard,eng
537,The Power of Habit,4.03,Charles Duhigg,eng
538,Midnight in the Garden of Good and Evil,3.9,John Berendt,eng
539,Hopeless,4.34,Colleen Hoover,eng
540,A Little Princess,4.2,"Frances Hodgson Burnett, Nancy Bond",eng
541,The Truth About Forever,4.13,Sarah Dessen,en-US
542,The horse and his boy,3.9,C.S. Lewis,eng
543,Last Sacrifice ,4.42,Richelle Mead,eng
544,Little House on the Prairie,4.18,"Laura Ingalls Wilder, Garth Williams",eng
545,The Velveteen Rabbit,4.29,"Margery Williams Bianco, William   Nicholson",eng
546,Zen and the Art of Motorcycle Maintenance,3.76,Robert M. Pirsig,eng
547,The War of the Worlds,3.8,"H.G. Wells, Arthur C. Clarke",eng
548,Pretty Little Liars,3.9,Sara Shepard,en-US
549,Corduroy,4.28,Don Freeman,en-US
550,The Omnivore's Dilemma,4.17,Michael Pollan,eng
551,Life After Life,3.74,Kate Atkinson,eng
552,The Rescue,4.1,Nicholas Sparks,en-US
553,Needful Things,3.87,Stephen King,
554,Voyager,4.38,Diana Gabaldon,eng
555,,4.12,"Kenneth Branagh, William Shakespeare",eng
556,Cujo,3.65,Stephen King,spa
557,The Virgin Suicides,3.83,Jeffrey Eugenides,eng
558,Dead to the World,4.13,Charlaine Harris,eng
559,Tess of the d'Urbervilles: A Pure Woman Faithfully Presented,3.77,"Thomas Hardy, Tim Dolin, Margaret R. Higonnet",eng
560,Madame Bovary,3.64,"Gustave Flaubert, Margaret Mauldon, Malcolm Bowie, Mark Overstall",eng
561,The Phantom Tollbooth,4.22,"Norton Juster, Jules Feiffer",en-US
562,The Way of Kings,4.64,Brandon Sanderson,eng
563,Club Dead,4.03,Charlaine Harris,en-GB
564,It's Kind of a Funny Story,4.14,Ned Vizzini,en-US
565,,4.35,Brandon Sanderson,eng
566,After You,3.7,Jojo Moyes,eng
567,The Language of Flowers,4.07,Vanessa Diffenbaugh,eng
568,Batman: The Dark Knight Returns,4.25,"Frank Miller, Klaus Janson, Lynn Varley",eng
569,The Angel Experiment,4.08,James Patterson,eng
570,High Fidelity,3.94,Nick Hornby,eng
571,The Guardian,4.14,Nicholas Sparks,en-US
572,Oryx and Crake,4,Margaret Atwood,eng
573,"Men Are from Mars, Women Are from Venus Book of Days: 365 Inspirations to Enrich Your Relationships",3.52,John Gray,en-US
574,Kitchen Confidential: Adventures in the Culinary Underbelly,4,Anthony Bourdain,eng
575,Timeline,3.83,Michael Crichton,en-US
576,Candide,3.76,Voltaire,eng
577,Tuck Everlasting,3.85,Natalie Babbitt,eng
578,Christine,3.72,"Stephen King, Marie Milpois",fre
579,Are You My Mother?,4.16,P.D. Eastman,eng
580,The Story of Art,3.83,E.H. Gombrich,en-US
581,Scarlet,4.3,Marissa Meyer,eng
582,"Rich Dad , Poor Dad",3.95,Robert T. Kiyosaki,eng
583,Silence ,4.16,Becca Fitzpatrick,eng
584,The Magicians,3.47,Lev Grossman,eng
585,デスノート #1 (Desu Nōto) Taikutsu (退屈),4.42,"Tsugumi Ohba, Takeshi Obata",eng
586,A Great and Terrible Beauty,3.79,Libba Bray,eng
587,Everything Is Illuminated,3.9,Jonathan Safran Foer,eng
588,The Bourne Supremacy,4.09,Robert Ludlum,en-US
589,Easy,4.11,Tammara Webber,en-CA
590,David Copperfield,3.96,"Charles Dickens, Jeremy Tambling",eng
591,The Absolutely True Diary of a Part-Time Indian,4.11,"Sherman Alexie, Ellen Forney",eng
592,Мастер и Маргарита,4.32,"Mikhail Bulgakov, Katherine Tiernan O'Connor, Diana Burgin, Ellendea Proffer",eng
593,A Wizard of Earthsea,3.99,Ursula K. Le Guin,en-US
594,Because of Winn-Dixie,4,"Kate DiCamillo, Chris Sheban",eng
595,A Separate Peace,3.56,John Knowles,en-US
596,The Rainmaker,3.91,John Grisham,eng
597,Don Quijote de La Mancha,3.85,"Miguel de Cervantes Saavedra, Roberto González Echevarría, John Rutherford",eng
598,Assassin's Apprentice,4.14,Robin Hobb,eng
599,The Restaurant at the End of the Universe,4.22,Douglas Adams,eng
600,Torment,3.89,Lauren Kate,eng
601,The Tale of Peter Rabbit,4.17,Beatrix Potter,eng
602,The Silver Chair,3.95,"C.S. Lewis, Pauline Baynes",eng
603,The Hero of Ages,4.46,Brandon Sanderson,eng
604,"Girl, Interrupted",3.9,Susanna Kaysen,eng
605,"Are You There, Vodka? It's Me, Chelsea",3.85,Chelsea Handler,
606,Jonathan Livingston Seagull,3.8,"Richard Bach, Russell Munson",en-US
607,City of Heavenly Fire,4.48,Cassandra Clare,eng
608,Love You Forever,4.34,"Robert Munsch, Sheila McGraw",en-GB
609,Cell,3.64,Stephen King,en-US
610,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,4.32,Daniel James Brown,eng
611,The Silmarillion,3.87,"J.R.R. Tolkien, Christopher Tolkien, Ted Nasmith",eng
612,The Drawing of the Three,4.23,Stephen King,eng
613,The Forgotten Garden,4.12,Kate Morton,en-GB
614,Der Prozeß,3.98,"Franz Kafka, Edwin Muir, Willa Muir, Max Brod",eng
615,This Lullaby,4.03,Sarah Dessen,eng
616,Plain Truth,3.97,Jodi Picoult,eng
617,Orange Is the New Black: My Year in a Women's Prison,3.7,Piper Kerman,eng
618,The Hound of the Baskervilles,4.09,"Arthur Conan Doyle, Anne Perry",eng
619,"Thinking, Fast and Slow",4.08,Daniel Kahneman,eng
620,The Mists of Avalon,4.12,Marion Zimmer Bradley,eng
621,"Are You There God? It's Me, Margaret",3.89,Judy Blume,eng
622,Nights in Rodanthe,3.82,Nicholas Sparks,eng
623,Mr. Mercedes,3.92,Stephen King,eng
624,All Together Dead,4.05,Charlaine Harris,eng
625,Midwives,3.97,Chris Bohjalian,en-US
626,The Polar Express,4.29,Chris Van Allsburg,en-US
627,The True Story of the Three Little Pigs,4.29,"Jon Scieszka, Lane Smith",en-GB
628,Patriot Games,4.11,Tom Clancy,eng
629,Veronika decide morrer,3.69,"Paulo Coelho, Margaret Jull Costa",eng
630,"Lean In: Women, Work, and the Will to Lead",3.94,"Sheryl Sandberg, Nell Scovell",eng
631,Dead as a Doornail ,4.01,Charlaine Harris,eng
632,"Shatter Me (Shatter Me, #1)",4.01,Tahereh Mafi,en-US
633,Starship Troopers,3.99,Robert A. Heinlein,en-CA
634,I've Got Your Number,3.93,Sophie Kinsella,eng
635,Sofies Verden,3.88,"Jostein Gaarder, Paulette Møller",eng
636,,4.3,Mark Cotta Vaz,eng
637,The Martian Chronicles,4.12,Ray Bradbury,en-US
638,A Visit From the Goon Squad,3.64,Jennifer Egan,eng
639,Heidi,3.97,"Johanna Spyri, Angelo  Rinaldi, Beverly Cleary",eng
640,Prey,3.72,Michael Crichton,
641,The Last Battle,4.02,C.S. Lewis,eng
642,World Without End,4.23,Ken Follett,eng
643,Chosen: A House of Night Novel,3.9,"P.C. Cast, Kristin Cast",en-US
644,Slammed,4.29,Colleen Hoover,eng
645,"Beastly (Beastly, #1, Kendra Chronicles, #1)",3.84,Alex Flinn,eng
646,Tales of Caunterbury,3.48,"Geoffrey Chaucer, Nevill Coghill",eng
647,Baby Proof,3.71,Emily Giffin,en-US
648,Inheritance,4.08,Christopher Paolini,en-US
649,いちきゅうはちよん [Ichi-Kyū-Hachi-Yon],3.89,"Haruki Murakami, Jay Rubin, Philip Gabriel",eng
650,Uncle Tom's Cabin or Life Among the Lowly,3.83,Harriet Beecher Stowe,eng
651,Le Fantôme de l'Opéra,3.97,"Gaston Leroux, Alexander Teixeira de Mattos",eng
652,"Definitely Dead (Sookie Stackhouse, #6)",4.02,Charlaine Harris,en-US
653,Ensaio Sobre a Cegueira,4.08,"José Saramago, Giovanni Pontiero",en-US
654,Freedom,3.73,Jonathan Franzen,en-US
655,Crossed,3.52,Ally Condie,eng
656,"I'd Tell You I Love You, But Then I'd Have to Kill You",3.82,Ally Carter,en-US
657,The White Tiger,3.71,Aravind Adiga,eng
658,The Corrections,3.78,Jonathan Franzen,eng
659,Dreams from My Father,3.81,Barack Obama,eng
660,Congo,3.55,Michael Crichton,eng
661,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",4.22,"Judith Viorst, Ray Cruz",en-CA
662,Interpreter of Maladies,4.12,Jhumpa Lahiri,eng
663,A People's History of the United States: 1492 to Present ,4.07,Howard Zinn,eng
664,Breakfast at Tiffany's,3.89,Truman Capote,eng
665,The Passage,4.04,Justin Cronin,eng
666,Anansi Boys,4,Neil Gaiman,eng
667,Along for the Ride,4.08,Sarah Dessen,eng
668,Everything I Never Told You,3.78,Celeste Ng,eng
669,La casa de los espíritus,4.2,"Isabel Allende, Magda Bogin",en-US
670,The Dead Zone,3.9,Stephen King,en-US
671,The Mysterious Affair at Styles,3.98,"Agatha Christie, Ροζίτα Σώκου",eng
672,Murder in the Calais Coach,4.16,Agatha Christie,eng
673,Americanah,4.26,Chimamanda Ngozi Adichie,eng
674,Suzanne's Diary for Nicholas,4.16,James Patterson,eng
675,Firestarter,3.85,Stephen King,eng
676,Entwined with You,4.19,Sylvia Day,eng
677,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",4.27,Christopher McDougall,eng
678,The Storied Life of A.J. Fikry,3.98,Gabrielle Zevin,eng
679,Mad About Madeline,4.22,Ludwig Bemelmans,en-GB
680,Think and Grow Rich,4.17,Napoleon Hill,eng
681,Little House In The Big Woods,4.16,"Laura Ingalls Wilder, Garth Williams",eng
682,Jonathan Strange & Mr Norrell,3.8,Susanna Clarke,eng
683,A Bend in the Road,4.02,Nicholas Sparks,eng
684,The House of Hades,4.54,Rick Riordan,eng
685,Gone,3.85,Michael  Grant,eng
686,The Wedding,3.98,Nicholas Sparks,en-US
687,1776,4.06,David McCullough,eng
688,Under the Banner of Heaven: A Story of Violent Faith,3.98,Jon Krakauer,eng
689,Beautiful Ruins,3.67,Jess Walter,eng
690,The Audacity of Hope: Thoughts on Reclaiming the American Dream,3.69,Barack Obama,en-US
691,On Writing: A Memoir of the Craft,4.31,Stephen King,eng
692,Firefly Lane,4.04,Kristin Hannah,en-US
693,Sphere,3.77,Michael Crichton,eng
694,Love the One You're With,3.7,Emily Giffin,en-US
695,The Silkworm,4.03,"Robert Galbraith, J.K. Rowling",eng
696,The Vampire Lestat,4.05,Anne Rice,eng
697,State of Wonder,3.85,Ann Patchett,eng
698,The Silver Linings Playbook,4,Matthew Quick,en-US
699,Vingt Mille Lieues Sous les Mers,3.86,"Jules Verne, Anthony Bonner",eng
700,The Constant Princess,3.88,Philippa Gregory,en-US
701,Mrs Dalloway,3.78,"Virginia Woolf, Maureen Howard",en-US
702,Hundraåringen som klev ut genom fönstret och försvann,3.81,"Jonas Jonasson, Rod Bradbury",en-GB
703,Bag of Bones,3.87,Stephen King,en-US
704,The Cider House Rules,4.1,John Irving,eng
705,Thinner,3.66,"Richard Bachman, Stephen King",en-GB
706,Le tour du monde en quatre-vingts jours,3.9,"Jules Verne, Michael Glencross, Brian W. Aldiss",eng
707,Walk Two Moons,3.95,Sharon Creech,eng
708,Onze minutos,3.69,"Paulo Coelho, Margaret Jull Costa",eng
709,Nine Stories,4.19,J.D. Salinger,eng
710,"Julie & Julia: 365 Days, 524 Recipes, 1 Tiny Apartment Kitchen",3.67,Julie Powell,eng
711,Unwind,4.18,Neal Shusterman,eng
712,"Drums of Autumn (Outlander, #4)",4.34,Diana Gabaldon,eng
713,Prodigy,4.29,Marie Lu,eng
714,The Tragedie of King Lear,3.89,William Shakespeare,eng
715,Death of a Salesman,3.49,Arthur Miller,eng
716,The Choice,3.99,Nicholas Sparks,en-US
717,,4.51,Kate Egan,en-US
718,The Sound and the Fury,3.86,William Faulkner,eng
719,A New Earth: Awakening to Your Life's Purpose,4.02,Eckhart Tolle,eng
720,BLEACH―ブリーチ―　1,4.21,Tite Kubo,eng
721,,4.17,Allie Brosh,eng
722,The Shadow Rising ,4.21,Robert Jordan,en-US
723,Shantaram,4.26,Gregory David Roberts,eng
724,From Dead to Worse,4.01,Charlaine Harris,eng
725,The Waste Lands,4.24,"Stephen King, Ned Dameron",eng
726,The Bone Collector,4.18,Jeffery Deaver,en-US
727,Der Vorleser,3.73,"Bernhard Schlink, Carol Brown Janeway",eng
728,"Brown Bear, Brown Bear, What Do You See?",4.19,"Bill Martin Jr., Eric Carle",eng
729,Hyperion,4.21,Dan Simmons,eng
730,The Pearl of the World,3.41,John Steinbeck,eng
731,The Exorcist,4.14,William Peter Blatty,en-US
732,The Short Second Life of Bree Tanner,3.51,Stephenie Meyer,eng
733,Snow Falling on Cedars,3.8,David Guterson,eng
734,Roots,4.42,Alex Haley,en-US
735,Batman: The Killing Joke ,4.36,"Alan Moore, Brian Bolland, Tim Sale",eng
736,Invisible Man,3.84,Ralph Ellison,eng
737,A Long Way Gone. Memoirs of a Boy Soldier,4.14,Ishmael Beah,en-US
738,Mrs. Frisby and the Rats of NIMH,4.13,Robert C. O'Brien,
739,Different Seasons,4.34,Stephen King,eng
740,The Little House Collection,4.33,"Laura Ingalls Wilder, Garth Williams",
741,The Girls' Guide to Hunting and Fishing,3.29,Melissa Bank,
742,Wool Omnibus,4.24,Hugh Howey,eng
743,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",4.26,Christopher Moore,en-US
744,The Power of Now,4.1,Eckhart Tolle,eng
745,Let's Pretend This Never Happened (A Mostly True Memoir),3.9,Jenny  Lawson,eng
746,The Lies of Locke Lamora,4.3,Scott Lynch,eng
747,Sabriel,4.17,Garth Nix,en-US
748,Dead and Gone,4.01,Charlaine Harris,eng
749,The Storyteller,4.26,Jodi Picoult,eng
750,Obsidian,4.23,Jennifer L. Armentrout,eng
751,"Life, the Universe and Everything",4.19,Douglas Adams,eng
752,Crown of Midnight,4.49,Sarah J. Maas,en-CA
753,"Scott Pilgrim, Volume 1: Scott Pilgrim's Precious Little Life",4.18,Bryan Lee O'Malley,eng
754,Half Broke Horses: A True Life Novel,4.05,Jeannette Walls,eng
755,Mort,4.22,Terry Pratchett,eng
756,"The Iron King (The Iron Fey, #1) ",3.92,Julie Kagawa,eng
757,Lonesome Dove,4.47,Larry McMurtry,en-US
758,Stiff: The Curious Lives of Human Cadavers,4.05,Mary Roach,eng
759,Bloodlines,4.22,Richelle Mead,en-US
760,Ender's Shadow,4.3,Orson Scott Card,eng
761,Twenties Girl,3.82,Sophie Kinsella,eng
762,Schindler's Ark,4.34,Thomas Keneally,eng
763,The Bluest Eye,3.99,Toni Morrison,eng
764,The White Queen,3.9,Philippa Gregory,eng
765,The Autobiography of Malcolm X,4.29,"Malcolm X, Alex Haley",eng
766,Preludes & Nocturnes,4.3,"Neil Gaiman, Sam Kieth, Mike Dringenberg, Malcolm Jones III, Todd Klein, Karen  Berger",eng
767,Seabiscuit,4.2,Laura Hillenbrand,en-US
768,Shutter Island,4.07,Dennis Lehane,eng
769,The Complete Sherlock Holmes,4.5,Arthur Conan Doyle,eng
770,The Tragedy of Julius Caesar,3.65,"William Shakespeare, Roma Gill",eng
771,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",3.81,Erik Larson,eng
772,Πολιτεία,3.9,"Plato, Desmond Lee",eng
773,The Taming of the Shrew,3.81,William Shakespeare,en-US
774,Cress,4.46,Marissa Meyer,eng
775,Just Kids,4.14,Patti Smith,en-US
776,,3.79,Phaidon Press,eng
777,Jemima J,3.62,Jane Green,en-US
778,Notre-Dame de Paris,3.97,"Victor Hugo, Walter J. Cobb",eng
779,A Fine Balance,4.34,Rohinton Mistry,eng
780,Calvin and Hobbes,4.61,"Bill Watterson, G.B. Trudeau",en-US
781,Specials,3.77,Scott Westerfeld,eng
782,The Awakening,3.63,Kate Chopin,eng
783,Hunted,3.93,"P.C. Cast, Kristin Cast",eng
784,For One More Day,4.09,Mitch Albom,en-US
785,Clear and Present Danger,4.08,Tom Clancy,eng
786,Falling Up,4.33,Shel Silverstein,en-US
787,Sh*t My Dad Says,3.98,Justin Halpern,
788,Trainspotting,4.07,"Irvine Welsh, Eric Lindor Fall",fre
789,Foundation and Empire,4.2,Isaac Asimov,eng
790,"The Four Agreements: A Practical Guide to Personal Freedom, A Toltec Wisdom Book",4.12,Miguel Ruiz,
791,House Rules,4.01,Jodi Picoult,en-US
792,Brüder Grimm: Kinder- und Hausmärchen,4.31,"Jacob Grimm, Wilhelm Grimm, Josef Scharl, Padraic Colum, Joseph Campbell, Margaret Raine Hunt, James Stern",eng
793,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,4.15,E.L. Konigsburg,eng
794,Doctor Sleep,4.1,Stephen King,eng
795,About a Boy,3.79,Nick Hornby,en-US
796,On Dublin Street,4.24,Samantha Young,eng
797,Crazy Love: Overwhelmed by a Relentless God,4.15,"Francis Chan, Danae Yankoski, Chris Tomlin",eng
798,"One Fish, Two Fish, Red Fish, Blue Fish",4.12,Dr. Seuss,
799,Watchers,4.16,Dean Koontz,
800,The Story of My Life,4.07,Helen Keller,eng
801,This Is Where I Leave You,3.88,Jonathan Tropper,eng
802,Abraham Lincoln: Vampire Hunter,3.7,Seth Grahame-Smith,en-US
803,フルーツバスケット 1,4.23,"Natsuki Takaya, Alethea Nibley, Athena Nibley",eng
804,The Tempest,3.8,William Shakespeare,en-US
805,Burned: A House of Night Novel,3.98,"P.C. Cast, Kristin Cast",eng
806,Wizard and Glass,4.24,"Stephen King, Dave McKean",eng
807,The Circle,3.46,Dave Eggers,eng
808,The Invention of Hugo Cabret,4.23,Brian Selznick,eng
